cartodb_id,the_geom,time,latitude,longitude,depth,mag,magtype,nst,gap,dmin,rms,net,id,updated,place,type
1011,0101000020E61000009487855AD30C63C037CD3B4ED1214E40,2015-10-14 04:34:34+00,60.2642,-152.4008,100.2,2.1,ml,,,,0.7,ak,ak11739081,2015-10-14 08:33:24.017+00,"31km SE of Redoubt Volcano, Alaska",earthquake
1012,0101000020E6100000B808E7AE00C95BC0D3212697B5624640,2015-10-14 04:25:32.72+00,44.7711667,-111.1406667,11.84,0.79,ml,14,64,0.035,0.14,uu,uu60126362,2015-10-14 20:04:18.62+00,"12km NNW of West Yellowstone, Montana",earthquake
1013,0101000020E6100000CDE26A091EC05BC01904560E2D5A4640,2015-10-14 04:17:59.87+00,44.7045,-111.0018333,7.92,0.4,md,11,73,0.044,0.13,uu,uu60126357,2015-10-14 19:57:36.09+00,"9km ENE of West Yellowstone, Montana",earthquake
1014,0101000020E6100000BFB5B86B2EC85BC0365D05E742624640,2015-10-14 04:15:21.78+00,44.7676667,-111.1278333,6.84,0.03,md,7,108,0.052,0.15,uu,uu60126352,2015-10-14 17:57:10.21+00,"11km N of West Yellowstone, Montana",earthquake
1015,0101000020E61000007B2A4C8432B65DC0CB75093D51CF4240,2015-10-14 04:07:28.84+00,37.6196667,-118.8468333,6.67,0.32,md,12,128,0.01282,0.02,nc,nc72536355,2015-10-15 01:46:44.67+00,"11km ESE of Mammoth Lakes, California",earthquake
1016,0101000020E61000007F6ABC7493305DC0E3A59BC420C04040,2015-10-14 04:01:27.17+00,33.501,-116.759,9.78,0.64,ml,32,34,0.06674,0.12,ci,ci37475400,2015-10-14 14:01:40.801+00,"10km SW of Anza, California",earthquake
1017,0101000020E6100000066BF7063AC95BC0D122DBF97E624640,2015-10-14 04:01:23.27+00,44.7695,-111.1441667,11.41,0.75,ml,11,63,0.038,0.14,uu,uu60126347,2015-10-14 17:48:21.92+00,"12km NNW of West Yellowstone, Montana",earthquake
1018,0101000020E61000008AB0E1E995C65DC00A68226C78CA4340,2015-10-14 04:01:03.067+00,39.5818,-119.1029,5.1,1.4,ml,18,180.83,0.253,0.0908,nn,nn00514580,2015-10-16 15:11:53.653+00,"13km ESE of Fernley, Nevada",earthquake
1019,0101000020E6100000E38FFD87CFC85BC00AD7A3703D624640,2015-10-14 03:58:28.57+00,44.7675,-111.1376667,8.85,0.04,md,9,105,0.045,0.17,uu,uu60126342,2015-10-14 17:45:45.52+00,"12km NNW of West Yellowstone, Montana",earthquake
1020,0101000020E61000008FA0F831E6125EC0E9482EFF21BD4340,2015-10-14 03:58:28.414+00,39.4776,-120.2953,10.8,-0.8,ml,12,108.82,0.069,0.0672,nn,nn00514710,2015-10-16 15:11:03.42+00,"19km NNW of Truckee, California",earthquake
1021,0101000020E6100000AADB341111C95BC07D3F355EBA614640,2015-10-14 03:51:31.57+00,44.7635,-111.1416667,7.84,0.09,md,7,101,0.041,0.16,uu,uu60126337,2015-10-14 17:44:10.6+00,"11km NNW of West Yellowstone, Montana",earthquake
1022,0101000020E6100000D8E4959034C95BC01903A1AB63624640,2015-10-14 03:45:16.17+00,44.7686667,-111.1438333,11.09,0.14,md,10,97,0.038,0.15,uu,uu60126332,2015-10-14 17:42:35.66+00,"12km NNW of West Yellowstone, Montana",earthquake
1023,0101000020E6100000CBB7E3F244C95BC05EBA490C02634640,2015-10-14 03:44:06.76+00,44.7735,-111.1448333,11.94,0.5,ml,13,69,0.035,0.08,uu,uu60126327,2015-10-14 17:40:29.94+00,"12km NNW of West Yellowstone, Montana",earthquake
1024,0101000020E61000007C55D39A0BC95BC07011CE5D01624640,2015-10-14 03:41:42.19+00,44.7656667,-111.1413333,8.74,0.65,ml,12,58,0.039,0.14,uu,uu60126322,2015-10-14 17:24:28.37+00,"11km NNW of West Yellowstone, Montana",earthquake
1025,0101000020E6100000A245B6F3FDC85BC0EE7C3F355E624640,2015-10-14 03:38:33.16+00,44.7685,-111.1405,9.29,0.55,md,9,93,0.037,0.16,uu,uu60126317,2015-10-14 17:20:50.42+00,"12km NNW of West Yellowstone, Montana",earthquake
1026,0101000020E610000085EB51B81EC95BC0EE7C3F355E624640,2015-10-14 03:35:56.54+00,44.7685,-111.1425,11.41,0.93,ml,12,114,0.038,0.16,uu,uu60126312,2015-10-14 17:16:36.41+00,"12km NNW of West Yellowstone, Montana",earthquake
1027,0101000020E610000085EB51B81EC95BC05CBBFE6ECB624640,2015-10-14 03:32:26.2+00,44.7718333,-111.1425,11.66,0.96,ml,16,66,0.035,0.12,uu,uu60126307,2015-10-14 17:14:30.48+00,"12km NNW of West Yellowstone, Montana",earthquake
1029,0101000020E6100000091B9E5E29EB62C01DA7E8482EB74F40,2015-10-14 03:20:33+00,63.4311,-151.3488,1.9,1.9,ml,,,,0.87,ak,ak11739068,2015-10-14 04:07:30.567+00,"119km W of Cantwell, Alaska",earthquake
1030,0101000020E61000004B37894160C95BC0E14ED834A5624640,2015-10-14 03:16:42.79+00,44.7706667,-111.1465,11.88,0.6,md,10,102,0.041,0.06,uu,uu60126302,2015-10-14 17:10:52.48+00,"12km NNW of West Yellowstone, Montana",earthquake
1031,0101000020E6100000066BF7063A095DC03F355EBA49E44040,2015-10-14 03:15:29.9+00,33.7835,-116.1441667,9.12,1.37,ml,45,62,0.06577,0.22,ci,ci37475392,2015-10-14 12:53:03.568+00,"10km NE of Indio, California",earthquake
1032,0101000020E6100000A9F1D24D62205DC06F3EBF396DC04040,2015-10-14 03:11:47.25+00,33.5033333,-116.506,12.52,0.66,ml,28,89,0.05792,0.12,ci,ci37266637,2015-10-14 13:50:05.493+00,"17km ESE of Anza, California",earthquake
1033,0101000020E610000023DBF97E6A205DC0D578E92631C04040,2015-10-14 03:11:39.59+00,33.5015,-116.5065,11.75,0.71,ml,35,90,0.05948,0.14,ci,ci37475384,2015-10-14 13:43:16.89+00,"17km ESE of Anza, California",earthquake
